case_id,asset_id,display_key,lens_id,title,publication_date,earliest_priority_date,applicants,owners,inventors,jurisdiction,kind,legal_status,cpc_classifications,ipcr_classifications,url,match_score,ri_relevance_reason,source_type,mocked,confidence_0_1
auto_kang_song_induction_member_range_safety,asset_0d74d357dc48,WO 2017/018589 A1,155-183-948-930-970,SAFETY MEMBER OF INDUCTION RANGE,2017-02-02,2014-07-25,IBP;;KIM KANG SU;;SONG YOUNG IL,,KIM KANG SU;;SONG YOUNG IL,WO,A1,PENDING,F24C7/08;;F24C15/10;;F24C15/30,F24C7/08;;F24C15/10;;F24C15/30,https://lens.org/155-183-948-930-970,4,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_kavotech_glonex_adsorbent_agent_production_therefor,asset_9971a8886c70,WO 2009/084936 A2,199-029-420-421-319,ADSORBENT AGENT AND A PRODUCTION METHOD THEREFOR,2009-07-09,2008-01-02,"KAVOTECH CO., LTD.;;GLONEX CO., LTD.;;LIM, Jae Shin;;PARK, Jung Hwan;;HWANG, Yong Soo;;KIM, Bong Gon;;KIM, Jin Woo;;KIM, Do Gun;;YUN, Jong Cheol",,,WO,A2,PENDING,B01J20/20;;B01J20/28097;;B01J20/20;;B01J20/18;;B82B3/00;;B82Y30/00,B01J20/20,https://lens.org/199-029-420-421-319,4,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_kenney_blind_bracket_headrail_supporting_window,asset_24346bd49142,WO 1991/002135 A1,104-774-895-177-157,SUPPORTING BRACKET AND HEADRAIL FOR A WINDOW BLIND,1991-02-21,1989-08-02,KENNEY MFG CO,,DUBEAU JOHN M;;TORTI ANTHONY;;COMEAU PAUL E,WO,A1,PENDING,E06B9/323,E06B9/323,https://lens.org/104-774-895-177-157,5,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_khim_hyeong_lamp_photocatalyst_using_water,asset_dd8bdcd3bc5d,IN 632DE2012 A,027-549-708-885-288,"""WATER TREATMENT SYSTEM USING LED-UV LAMP AND PHOTOCATALYST""",2015-08-21,2012-03-05,KHIM JEE-HYEONG;;NA SEUNG-MIN;;CUI MING-CAN;;CHO EUN-JU,,KHIM JEE-HYEONG;;NA SEUNG-MIN;;CUI MING-CAN;;CHO EUN-JU,IN,A,PENDING,,C07C/,https://lens.org/027-549-708-885-288,4,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_king_jack_damper_ductwork_fire_intumescent_passive,asset_0173a3cbb05f,WO 2016/191373 A1,028-629-738-271-013,PASSIVE DUCTWORK INTUMESCENT FIRE DAMPER,2016-12-01,2015-05-22,KING JACK F JR,,KING JACK F JR,WO,A1,PENDING,A62C2/065;;A62C3/16;;F16L5/04;;F24F11/35;;F24F2221/30;;F24F13/08;;A62C2/065;;A62C3/16;;F16L5/04;;F24F11/35;;F24F2221/30,A62C2/06;;A62C2/00;;E04B1/94;;F16L5/02;;F16L5/04;;F16L57/04,https://lens.org/028-629-738-271-013,5,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_kirk_william_apparatus_destroying_hypodermic_needles,asset_f91ad730760c,WO 1992/012818 A1,076-348-103-556-947,APPARATUS FOR DESTROYING HYPODERMIC NEEDLES,1992-08-06,1991-01-22,KIRK WILLIAM J;;THOMPSON STANLEY O;;MATHEWS JOHN G;;LOCKETT WILLIAM III;;LYNCH RICHARD A,,KIRK WILLIAM J;;THOMPSON STANLEY O;;MATHEWS JOHN G;;LOCKETT WILLIAM III;;LYNCH RICHARD A,WO,A1,PENDING,A61M5/3278;;A61M2005/3283;;B23H9/001;;Y10S83/944;;A61M5/3278;;A61M2005/3283;;B23H9/001;;Y10S83/944,A61M5/32;;B23H9/00,https://lens.org/076-348-103-556-947,4,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_kolev_nikolay_copper_depressant_minerals_molybdenum_organic_ot,asset_326eedd30a93,BG 113954 A,031-131-207-507-672,METHOD FOR SELECTIVE SEPARATION OF MOLYBDENUM SULFIDE (MOLYBDENUM) FROM COPPER AND OTHER SULFIDE MINERALS USING AN ORGANIC DEPRESSANT OF SULFIDE MINERALS,2026-03-16,2024-08-27,KOLEV NIKOLAY BELCHEV,,KOLEV NIKOLAY BELCHEV,BG,A,PENDING,B03D1/00,B03D1/00,https://lens.org/031-131-207-507-672,14,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_korea_advanced_derivatives_hexahydro_isoquinoline_production_py,asset_3af4ba87ddea,GB 2126212 B,131-024-982-885-940,PROCESS FOR THE PRODUCTION OF (+)-4-OXO-1 2 3 6 7 11B-HEXAHYDRO-4H-PYRAZINO(2 1-A)ISOQUINOLINE DERIVATIVES,1986-07-02,1982-07-08,KOREA ADVANCED INST SCI & TECH,,KIM CHOONG SUP;;LEE NAM JIN;;LEE JOONG HYUP,GB,B,EXPIRED,C07D471/04;;C07D241/08;;C07D471/04;;C07D241/08,C07D241/08;;C07D471/04,https://lens.org/131-024-982-885-940,5,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_korea_advanced_derivatives_hexahydro_isoquinoline_production_py,asset_e2d799017aa8,GB 2126212 A,084-182-981-000-216,"Process for the production of (+/-)-4-oxo-1,2,3,6,7,11b-hexahydro- 4H-pyrazino(2,1-a]isoquinoline derivatives",1984-03-21,1982-07-08,KOREA ADVANCED INST SCI & TECH,,KIM CHOONG SUP;;LEE NAM JIN;;LEE JOONG HYUP,GB,A,EXPIRED,C07D471/04;;C07D241/08;;C07D471/04;;C07D241/08,C07D241/08;;C07D471/04,https://lens.org/084-182-981-000-216,5,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_korea_angora_animal_fibres_hair_making,asset_40a782fd4cb1,EP 0450843 A2,015-982-197-656-556,Process for making fibres from animal hair.,1991-10-09,1990-03-31,KOREA ANGORA CO LTD,,KIM YONG HWAN,EP,A2,DISCONTINUED,D01C3/00;;D01C3/00,D01C3/00,https://lens.org/015-982-197-656-556,4,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_korea_catholic_after_cataract_inhibiting_preparing_same,asset_67fded634e07,IN 5738DEN2014 A,132-408-232-599-805,COMPOSITION FOR INHIBITING AFTER CATARACT AND METHOD FOR PREPARING SAME,2015-04-10,2011-12-12,BMI KOREA CO LTD;;CATHOLIC UNIV IND ACAD COOP,,BAIK YEONG JUN;;JOO CHOUN KI;;LEE SUNG HEE;;CHOI JUN SUB;;WOO KOO,IN,A,PENDING,A61K9/0048;;A61K9/08;;A61K9/19;;A61K31/655;;A61K31/728;;A61K47/60;;A61P27/12;;A61P43/00;;A61K31/4402;;A61K31/728;;A61K31/4402;;A61K9/0048;;A61K9/08;;A61K9/19;;A61K31/655;;A61K31/728;;A61K47/60,A61K31/728;;A61P27/12,https://lens.org/132-408-232-599-805,5,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_korea_delphi_cylinder_master_vehicle,asset_d7b0b68dc736,WO 2009/093850 A2,115-766-922-590-115,MASTER CYLINDER FOR A VEHICLE,2009-07-30,2008-01-22,"KOREA DELPHI AUTOMOTIVE SYSTEMS CORPORATION;;KIM, Young Taek;;KIM, Sang Bo;;WEON, Jong Dae;;HA, Tae Jun",,,WO,A2,PENDING,B60T11/232;;B60T11/236;;B60T11/232;;B60T11/236,B60T11/16,https://lens.org/115-766-922-590-115,3,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_korea_food_fermented_kimchi_producing_sausage,asset_bdcde31a5b7e,GB 2243528 B,190-975-679-055-155,Method for producing kimchi-fermented sausage,1994-04-20,1990-04-26,KOREA FOOD RES INST,,LEE SUNG-KI;;CHOI SHIN-YANG;;MIN BYONG-YONG,GB,B,EXPIRED,A23B4/044;;A23L13/65;;A23L19/00;;A23L13/60,A23B4/044;;A23L13/60,https://lens.org/190-975-679-055-155,4,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
